Name,ID,Weight
Martin Lewis,729,2
Caris LeVert,1627747,8
Jim McDaniels,77523,5
PJ Hairston,203798,2
Amile Jefferson,1628518,2
Darryl Johnson,683,1
Don May,77489,7
Anthony Jones,77173,3
Aaron Swinson,78286,1
Mike Penberthy,2130,2
Demetrius Calip,76332,1
D'Angelo Russell,1626156,9
Alperen Sengun,1630578,3
Trayvon Palmer,1629309,1
Zarko Cabarkapa,2560,3
Walter Budko,76298,4
Frank Fucarino,76762,1
David Pope,77870,2
Myron Brown,76277,1
Jerry Smith,202536,1
Jim Reid,77935,1
DJ Stewart,1630597,0
Robert Archibald,2425,2
Jim Marsh,77466,1
Bill Stricker,78269,1
"Bear, The Body Hoffman",77036,6
Robert Zawoluk,78639,3
James Augustine,200788,2
Makhtar N'diaye,1823,1
DJ Strawberry,201199,1
Jojo White,78510,12
Elmer Bennett,1120,3
Jalen Duren,1631105,2
Dexter Shouse,78140,1
Rayan Rupert,1641712,1
Gerry Ward,78455,4
Erick Strickland,1065,9
Gerald Green,101123,12
Jermareo Davidson,201176,2
Chuck Halbert,76918,5
Derek Strong,400,10
Jarred Vanderbilt,1629020,5
Malachi Flynn,1630201,4
Lorenzen Wright,953,13
Jeryl Sasser,2219,2
Josh Boone,200767,4
Jake Ford,76735,2
Wiley Peck,77827,1
Harvey Catchings,76365,11
Carl Meinhold,77574,2
Darryl Watkins,201208,2
Wilmer Hosket,77061,4
Kelvin Upshaw,78394,3
Chris Engler,76670,5
Pat Riley,77962,9
Elijah Hughes,1630190,2
Rawle Alkins,1628959,1
Marko Milic,1527,2
Paul Seymour,78117,12
Frank Ntilikina,1628373,6
Mike Niles,77718,1
Chuck Williams,78547,2
Ed Lawrence,77348,1
Dante Cunningham,201967,10
Norton Barnhill,76109,1
Jeff Sanders,1874,4
Rod Derline,76559,2
Javonte Smart,1630606,1
Jae'Sean Tate,1630256,4
Patty Mills,201988,14
Chris Mullin,904,16
Andrew Lang,457,12
Gene Vance,78402,5
D.J. Augustin,201571,14
Darvin Ham,1032,8
Anthony Miller,292,8
Mike Iuzzolino,77098,2
Bob McNeill,77562,2
Acie Earl,768,4
Arnie Johnson,77132,5
Johnny Ezersky,76689,3
Charlie Brown Jr.,1629718,3
Kai Jones,1630539,2
Al Cervi,76373,4
Tyrese Haliburton,1630169,4
Ed Fleming,76723,5
Jahmi'us Ramsey,1630186,2
Mike Miller,2034,17
Mike Lynn,77427,2
Jack Turner,78382,1
Eddie Hughes,77077,3
Charles Barkley,787,16
DeJuan Blair,201971,7
Adrian Caldwell,154,6
George Hill,201588,15
Markelle Fultz,1628365,7
Marc Jackson,1531,7
Kevin Love,201567,16
Horacio Llamas,1024,2
Devin Cannady,1629962,2
Peter Verhoeven,78414,6
Chris Livingston,1641753,1
Larry Krystkowiak,1474,9
Marcin Gortat,101162,12
Bob Harris,76959,5
Lamond Murray,441,11
Deng Adel,1629061,1
Rafael Addison,912,6
Saben Lee,1630240,4
DeJon Jarreau,1630610,1
Dwayne Polee,77866,1
Dave Gambee,76774,12
Barney Cable,76324,6
Ron Johnson,77165,1
Eldridge Recasner,695,8
Sasha Kaun,201619,1
Jakob Poeltl,1627751,8
Allie McGuire,77535,1
Ibrahim Kutluay,2825,1
Tony Smith,380,9
Josh Giddey,1630581,3
Joe Reaves,77923,1
Mark Eaton,76631,11
Roy Pugh,77889,1
Jake Voskuhl,2063,9
Brandon Hunter,2599,2
David Britton,76261,1
Frank Oleynick,77759,2
Kennedy Chandler,1631113,1
Brett Szabo,1136,1
Lucian Whitaker,78506,1
Todd Day,103,8
Dan Kraus,77309,1
Tony Bennett,76148,3
Jaden Hardy,1630702,2
Charlie Davis,76518,8
Eugene Omoruyi,1630647,3
Sergio Rodriguez,200771,5
Desmond Bane,1630217,4
Willie Burton,416,8
Phil Rollins,78013,3
Jason Smith,201160,11
David Lee,101135,12
Reggie Slater,1073,8
Michael Wallace,78443,1
Walter Herrmann,200835,3
Nigel Williams-Goss,1628430,1
Barry Sumpter,78654,1
Sean Elliott,251,12
Robert Smith,78204,7
Julian Washburn,1627395,1
Javon Freeman-Liberty,1631241,0
Mel Riebe,77958,3
Miye Oni,1629671,3
Marvin Bagley III,1628963,6
Kyle Alexander,1629734,1
Olivier Sarr,1630846,3
Renaldo Major,200970,1
Howard Tidrick,78341,1
William Averitt,76076,2
Ricky Pierce,894,16
Dallas Comegys,76426,2
Quinton Ross,2624,7
Lee Winfield,78592,7
Robert Hawkins,76975,4
Scott Burrell,197,8
Dewayne Scales,78068,3
Kris Joseph,203126,1
Gerard Kelly,77237,2
Johnny Dawkins,1008,9
Horace Walker,78438,1
Chuck Noble,77722,7
Glen Gondrezick,76830,6
Bob Nash,77688,4
Russ Schoene,78087,4
Olden Polynice,178,15
Jim Les,77372,7
JaKarr Sampson,203960,6
Donald Sloan,202388,5
Zelmo Beaty,76133,8
Tom Barker,76099,2
Jackson Vroman,2761,2
Sheldon Mac,1627815,1
Henry Dickerson,76563,2
Bol Bol,1629626,5
Branden Dawson,1626183,1
Caleb Houstan,1631216,2
Dennis Stewart,78253,1
Luke Witte,78603,3
Maxi Kleber,1628467,7
Gerald Fitch,2809,1
Charles Thomas,78316,1
Mirsad Turkcan,1726,1
Noel Felix,101230,1
Chris Carr,713,6
Jarell Eddie,204067,3
George Johnson,77149,13
Evers Burns,76308,1
Larry Friend,76758,1
Greg Griffin,76888,1
Matthew Dellavedova,203521,9
Larry Smith,78195,13
Bo Kimble,77260,3
Rashad McCants,101119,4
Howie Montgomery,77630,1
Shaler Halimon,76922,4
Hiram Fuller,2673,1
Gordon Hayward,202330,14
Nick Anderson,98,13
Charlie Criss,76471,8
Travis Knight,969,7
Samuel Dalembert,2223,13
Chuck Aleksinas,76021,1
Cristiano Felicio,1626245,6
Ron Davis,76534,3
Luol Deng,2736,15
John Turner,1819,1
Don Bielke,76164,1
Marcus Mann,986,0
Kyle Anderson,203937,10
Doug Overton,77,11
Mike Wilks,2366,7
Charles Kupec,77325,3
Jabari Smith Jr.,1631095,2
Brandon Paul,203464,1
Wally Osterkorn,77775,4
Johnny Green,76867,14
Jarrod Uthoff,1627784,2
Orlando Woolridge,78615,13
Terrell Brandon,210,11
Blake Ahearn,201336,3
David Nwaba,1628021,6
Larry Steele,78245,9
Kris Murray,1631200,1
Willy Hernangomez,1626195,7
Marcus Haislip,2409,4
Jim Ray,77919,2
Eduardo Najera,2059,12
