Name,ID,Weight
lebron james,2544,10.00
kobe bryant,977,8.42
kareem abdul-jabbar,76003,8.08
karl malone,252,8.02
dirk nowitzki,1717,8.02
shaquille o'neal,406,7.94
kevin durant,201142,7.89
kevin garnett,708,7.80
carmelo anthony,2546,7.65
chris paul,101108,7.58
tim duncan,1495,7.50
michael jordan,893,7.39
hakeem olajuwon,165,7.34
russell westbrook,201566,7.32
james harden,201935,7.19
paul pierce,1718,7.13
stephen curry,201939,7.10
dwyane wade,2548,6.87
wilt chamberlain,76375,6.84
allen iverson,947,6.68
patrick ewing,121,6.66
jason kidd,467,6.61
ray allen,951,6.60
charles barkley,787,6.59
robert parish,305,6.58
john stockton,304,6.43
anthony davis,203076,6.31
damian lillard,203081,6.30
reggie miller,397,6.18
dominique wilkins,1122,6.15
gary payton,56,6.13
steve nash,959,6.10
giannis antetokounmpo,203507,6.04
clyde drexler,17,6.01
scottie pippen,937,6.00
elvin hayes,76979,5.96
david robinson,764,5.94
larry bird,1449,5.93
oscar robertson,600015,5.90
jerry west,78497,5.80
elgin baylor,76127,5.63
magic johnson,77142,5.58
john havlicek,76970,5.55
kawhi leonard,202695,5.43
isiah thomas,78318,5.27
bob mcadoo,77498,5.21
moses malone,77449,4.96
bob pettit,77847,4.90
george gervin,76804,4.79
julius erving,76681,4.78
hal greer,76882,4.77
kevin mchale,1450,4.76
lenny wilkens,78530,4.73
nate archibald,76054,4.65
dolph schayes,78076,4.63
vince carter,1713,4.59
nate thurmond,600001,4.59
dave bing,76166,4.49
james worthy,1460,4.49
bill russell,78049,4.49
pete maravich,77459,4.48
walt frazier,76750,4.46
rick barry,600013,4.44
bob cousy,600003,4.40
earl monroe,600006,4.35
dave cowens,76462,4.27
dennis rodman,23,4.01
jerry lucas,77418,4.01
wes unseld,78392,4.00
dave debusschere,76545,3.91
pau gasol,2200,3.91
paul arizin,76056,3.88
dwight howard,2730,3.87
billy cunningham,76487,3.83
sam jones,77196,3.79
jamal crawford,2037,3.76
kyle lowry,200768,3.71
willis reed,77929,3.70
demar derozan,201942,3.67
grant hill,255,3.65
kyrie irving,202681,3.65
bill walton,78450,3.64
lamarcus aldridge,200746,3.64
tony parker,2225,3.61
chris webber,185,3.57
joe johnson,2207,3.53
kevin willis,788,3.51
jason terry,1891,3.49
mike conley,201144,3.48
zach randolph,2216,3.48
rudy gay,200752,3.48
kevin love,201567,3.47
paul george,202331,3.47
bill sharman,78126,3.45
elton brand,1882,3.44
andre iguodala,2738,3.44
al horford,201143,3.42
brook lopez,201572,3.40
jrue holiday,201950,3.37
tracy mcgrady,1503,3.34
antawn jamison,1712,3.33
juwan howard,436,3.30
jerry stackhouse,711,3.29
adrian dantley,76504,3.29
clifford robinson,361,3.28
eric gordon,201569,3.27
terry cummings,187,3.26
jermaine o'neal,979,3.24
shawn marion,1890,3.24
chauncey billups,1497,3.21
alex english,76673,3.18
andre miller,1889,3.18
joel embiid,203954,3.17
bradley beal,203078,3.17
metta world peace,1897,3.16
lou williams,101150,3.14
chris mullin,904,3.14
derrick rose,201565,3.13
jimmy butler,202710,3.13
paul millsap,200794,3.12
rod strickland,393,3.11
tyson chandler,2199,3.11
trevor ariza,2772,3.09
thaddeus young,201152,3.09
chris bosh,2547,3.06
mitch richmond,782,3.05
charles oakley,891,3.05
blake griffin,201933,3.04
nikola vucevic,202696,3.03
rasheed wallace,739,3.02
dikembe mutombo,87,3.02
alonzo mourning,297,3.00
amar'e stoudemire,2405,3.00
luka doncic,1629029,3.00
rajon rondo,200765,2.99
richard jefferson,2210,2.97
otis thorpe,901,2.97
manu ginobili,1938,2.97
marcus camby,948,2.97
bernard king,77264,2.97
james edwards,229,2.96
nikola jokic,203999,2.95
karl-anthony towns,1626157,2.95
sam cassell,208,2.95
dale ellis,107,2.94
rashard lewis,1740,2.94
tom chambers,1472,2.94
john wall,202322,2.92
bob lanier,600005,2.92
devin booker,1626164,2.92
eddie johnson,698,2.91
buck williams,433,2.91
stephon marbury,950,2.91
terry porter,345,2.91
demarcus cousins,202326,2.90
nene,2403,2.89
michael finley,714,2.88
al jefferson,2744,2.87
derrick coleman,934,2.86
walter davis,1453,2.86
goran dragic,201609,2.86
glen rice,779,2.85
gordon hayward,202330,2.85
baron davis,1884,2.85
mark jackson,349,2.85
kemba walker,202689,2.85
horace grant,270,2.84
nicolas batum,201587,2.84
luol deng,2736,2.83
david west,2561,2.83
jeff green,201145,2.83
vlade divac,124,2.83
derek harper,157,2.82
richard hamilton,1888,2.80
detlef schrempf,96,2.80
latrell sprewell,84,2.80
sam perkins,64,2.79
derek fisher,965,2.78
tobias harris,202699,2.78
carlos boozer,2430,2.78
al harrington,1733,2.78
ron harper,166,2.77
lamar odom,1885,2.76
mike miller,2034,2.75
jr smith,2747,2.75
tim hardaway,896,2.75
kurt thomas,703,2.75
kyle korver,2594,2.74
monta ellis,101145,2.74
deandre jordan,201599,2.74
danilo gallinari,201568,2.74
deron williams,101114,2.73
mike bibby,1710,2.71
herb williams,1006,2.71
cj mccollum,203468,2.71
marc gasol,201188,2.71
trae young,1629027,2.70
corey maggette,1894,2.69
zach lavine,203897,2.69
shawn kemp,431,2.68
eddie jones,224,2.68
jack sikma,78149,2.67
jason richardson,2202,2.66
antonio mcdyess,686,2.66
larry nance,77685,2.66
khris middleton,203114,2.65
reggie theus,78310,2.65
klay thompson,202691,2.65
josh smith,2746,2.64
walt bellamy,76144,2.64
donovan mitchell,1628378,2.64
antoine walker,952,2.64
mark aguirre,76016,2.64
caron butler,2406,2.64
danny manning,330,2.63
ricky pierce,894,2.63
kendall gill,383,2.63
jerome kersey,760,2.62
kenyon martin,2030,2.60
george hill,201588,2.60
devin harris,2734,2.59
joe dumars,247,2.59
jj redick,200755,2.59
joe smith,693,2.59
jeff hornacek,204,2.59
gilbert arenas,2240,2.58
anfernee hardaway,358,2.58
serge ibaka,201586,2.58
kevin johnson,134,2.57
stephen jackson,1536,2.57
andre drummond,203083,2.56
shareef abdur-rahim,949,2.55
mike dunleavy,2399,2.55
peja stojakovic,978,2.53
glenn robinson,299,2.53
world free,76753,2.53
marvin williams,101107,2.53
jayson tatum,1628369,2.53
jim jackson,754,2.53
george mikan,600012,2.53
jameer nelson,2749,2.52
julius randle,203944,2.51
eric bledsoe,202339,2.51
steven smith,120,2.50
javale mcgee,201580,2.50
gail goodrich,76832,2.50
robin lopez,201577,2.49
kevin martin,2755,2.49
dell curry,209,2.49
jonas valanciunas,202685,2.49
raymond felton,101109,2.49
andrew wiggins,203952,2.49
nick van exel,89,2.49
jamal mashburn,469,2.49
reggie jackson,202704,2.48
jeff malone,117,2.48
mookie blaylock,302,2.48
donyell marshall,923,2.47
lindsey hunter,283,2.47
nazr mohammed,1737,2.46
hedo turkoglu,2045,2.46
rolando blackman,76176,2.46
dennis johnson,77141,2.46
kenny anderson,72,2.46
maurice cheeks,76385,2.46
lou hudson,77074,2.46
de'aaron fox,1628368,2.45
dan schayes,7,2.45
a.c. green,920,2.44
gerald wallace,2222,2.44
cj miles,101139,2.44
mo williams,2590,2.44
kiki vandeweghe,78404,2.43
damon stoudamire,757,2.43
larry hughes,1716,2.41
harrison barnes,203084,2.41
zaza pachulia,2585,2.41
andrew bogut,101106,2.40
rick mahorn,328,2.40
brandon ingram,1627742,2.40
d'angelo russell,1626156,2.40
zydrunas ilgauskas,980,2.39
shai gilgeous-alexander,1628983,2.39
dale davis,905,2.39
erick dampier,956,2.39
victor oladipo,203506,2.39
doug christie,57,2.39
kristaps porzingis,204001,2.39
rudy gobert,203497,2.38
